Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 ANCHTEN1	 ANCHTEN2	 ANCHTEN3	 
21.9	 73.0567	 45.718	 45.718	 73.0504	 45.7046	 45.7046	 
22	 73.0773	 45.702	 45.702	 73.0691	 45.69	 45.69	 
22.1	 73.0904	 45.6942	 45.6942	 73.0817	 45.6828	 45.6828	 
22.2	 73.1004	 45.6867	 45.6867	 73.0895	 45.6769	 45.6769	 
22.3	 73.0868	 45.6951	 45.6951	 73.0779	 45.6836	 45.6836	 
22.4	 73.0645	 45.7114	 45.7114	 73.0557	 45.7001	 45.7001	 
22.5	 73.0339	 45.7379	 45.7379	 73.0276	 45.7245	 45.7245	 
22.6	 73.0223	 45.7493	 45.7493	 73.0143	 45.7371	 45.7371	 
22.7	 73.0345	 45.7382	 45.7382	 73.0265	 45.7262	 45.7262	 
22.8	 73.0584	 45.7167	 45.7167	 73.0481	 45.7065	 45.7065	 
22.9	 73.0768	 45.7022	 45.7022	 73.0674	 45.6912	 45.6912	 
23	 73.0901	 45.6943	 45.6943	 73.0802	 45.6837	 45.6837	 
23.1	 73.0985	 45.6881	 45.6881	 73.0885	 45.6776	 45.6776	 
23.2	 73.0872	 45.6949	 45.6949	 73.0787	 45.6831	 45.6831	 
23.3	 73.0655	 45.7107	 45.7107	 73.0574	 45.6987	 45.6987	 
23.4	 73.0359	 45.736	 45.736	 73.0295	 45.7227	 45.7227	 
23.5	 73.023	 45.7486	 45.7486	 73.0161	 45.7355	 45.7355	 
23.6	 73.0326	 45.7398	 45.7398	 73.0252	 45.7272	 45.7272	 
23.7	 73.0566	 45.7183	 45.7183	 73.0478	 45.7068	 45.7068	 
23.8	 73.0739	 45.7045	 45.7045	 73.0664	 45.6919	 45.6919	 
23.9	 73.0877	 45.6959	 45.6959	 73.08	 45.6835	 45.6835	 
24	 73.0964	 45.6897	 45.6897	 73.0873	 45.6785	 45.6785	 
24.1	 73.0886	 45.6938	 45.6938	 73.0797	 45.6824	 45.6824	 
24.2	 73.0669	 45.7096	 45.7096	 73.0583	 45.698	 45.698	 
24.3	 73.0389	 45.7334	 45.7334	 73.0316	 45.7208	 45.7208	 
24.4	 73.0235	 45.748	 45.748	 73.0173	 45.7344	 45.7344	 
24.5	 73.0316	 45.7406	 45.7406	 73.0242	 45.7281	 45.7281	 
24.6	 73.0562	 45.7187	 45.7187	 73.0466	 45.7079	 45.7079	 
24.7	 73.0729	 45.7051	 45.7051	 73.065	 45.6929	 45.6929	 
24.8	 73.0879	 45.6954	 45.6954	 73.0788	 45.6843	 45.6843	 
24.9	 73.0945	 45.6911	 45.6911	 73.0865	 45.679	 45.679	 
25	 73.0898	 45.6929	 45.6929	 73.0805	 45.6819	 45.6819	 
25.1	 73.0669	 45.7096	 45.7096	 73.0595	 45.6971	 45.6971	 
25.2	 73.0412	 45.7313	 45.7313	 73.0339	 45.7187	 45.7187	 
25.3	 73.0238	 45.7475	 45.7475	 73.0178	 45.7337	 45.7337	 
25.4	 73.0311	 45.741	 45.741	 73.0239	 45.7283	 45.7283	 
25.5	 73.055	 45.7197	 45.7197	 73.0452	 45.709	 45.709	 
25.6	 73.0722	 45.7056	 45.7056	 73.0636	 45.6939	 45.6939	 
25.7	 73.0865	 45.6963	 45.6963	 73.0779	 45.6847	 45.6847	 
25.8	 73.0929	 45.6923	 45.6923	 73.0851	 45.68	 45.68	 
25.9	 73.0907	 45.6923	 45.6923	 73.0808	 45.6817	 45.6817	 
26	 73.0687	 45.7081	 45.7081	 73.0599	 45.6968	 45.6968	 
26.1	 73.0452	 45.728	 45.728	 73.0353	 45.7175	 45.7175	 
26.2	 73.0255	 45.7459	 45.7459	 73.0181	 45.7333	 45.7333	 
26.3	 73.0318	 45.7404	 45.7404	 73.0233	 45.7288	 45.7288	 
26.4	 73.0526	 45.7217	 45.7217	 73.0441	 45.71	 45.71	 
26.5	 73.0716	 45.706	 45.706	 73.0626	 45.6946	 45.6946	 
26.6	 73.0846	 45.6976	 45.6976	 73.0771	 45.6851	 45.6851	 
26.7	 73.0923	 45.6927	 45.6927	 73.0839	 45.6809	 45.6809	 
26.8	 73.0906	 45.6924	 45.6924	 73.0815	 45.6812	 45.6812	 
26.9	 73.0695	 45.7076	 45.7076	 73.0615	 45.6955	 45.6955	 
27	 73.0462	 45.727	 45.727	 73.0376	 45.7154	 45.7154	 
27.1	 73.025	 45.7461	 45.7461	 73.0198	 45.7317	 45.7317	 
27.2	 73.03	 45.7419	 45.7419	 73.0239	 45.7283	 45.7283	 
27.3	 73.0496	 45.7241	 45.7241	 73.043	 45.711	 45.711	 
27.4	 73.0704	 45.7068	 45.7068	 73.0627	 45.6945	 45.6945	 
27.5	 73.0836	 45.6982	 45.6982	 73.0754	 45.6863	 45.6863	 
27.6	 73.0919	 45.6928	 45.6928	 73.0831	 45.6814	 45.6814	 
27.7	 73.0905	 45.6926	 45.6926	 73.0812	 45.6815	 45.6815	 
27.8	 73.0711	 45.7064	 45.7064	 73.0628	 45.6944	 45.6944	 
27.9	 73.0481	 45.7253	 45.7253	 73.0389	 45.7142	 45.7142	 
28	 73.0278	 45.7437	 45.7437	 73.0204	 45.731	 45.731	 
28.1	 73.0309	 45.7411	 45.7411	 73.023	 45.729	 45.729	 
28.2	 73.0494	 45.7244	 45.7244	 73.0411	 45.7125	 45.7125	 
28.3	 73.0711	 45.7063	 45.7063	 73.0613	 45.6956	 45.6956	 
28.4	 73.0823	 45.699	 45.699	 73.0739	 45.6872	 45.6872	 
28.5	 73.0918	 45.6928	 45.6928	 73.082	 45.6822	 45.6822	 
28.6	 73.0898	 45.6932	 45.6932	 73.0807	 45.6819	 45.6819	 
28.7	 73.0733	 45.7046	 45.7046	 73.064	 45.6936	 45.6936	 
28.8	 73.0485	 45.7248	 45.7248	 73.0409	 45.7125	 45.7125	 
28.9	 73.0296	 45.742	 45.742	 73.022	 45.7296	 45.7296	 
29	 73.0296	 45.7422	 45.7422	 73.0227	 45.7292	 45.7292	 
29.1	 73.0471	 45.7263	 45.7263	 73.0406	 45.7131	 45.7131	 
29.2	 73.069	 45.7079	 45.7079	 73.0606	 45.6961	 45.6961	 
29.3	 73.0806	 45.7001	 45.7001	 73.0731	 45.6877	 45.6877	 
29.4	 73.0911	 45.6932	 45.6932	 73.0813	 45.6826	 45.6826	 
29.5	 73.0895	 45.6935	 45.6935	 73.0802	 45.6824	 45.6824	 
29.6	 73.0751	 45.7033	 45.7033	 73.0657	 45.6923	 45.6923	 
29.7	 73.0494	 45.724	 45.724	 73.0422	 45.7113	 45.7113	 
29.8	 73.0311	 45.7407	 45.7407	 73.024	 45.7278	 45.7278	 
29.9	 73.0286	 45.743	 45.743	 73.0226	 45.7292	 45.7292	 
30	 73.0474	 45.7262	 45.7262	 73.0389	 45.7145	 45.7145	 
30.1	 73.068	 45.7087	 45.7087	 73.0594	 45.6971	 45.6971	 
30.2	 73.0807	 45.6999	 45.6999	 73.0722	 45.6882	 45.6882	 
30.3	 73.0898	 45.6941	 45.6941	 73.0808	 45.6829	 45.6829	 
30.4	 73.0891	 45.6939	 45.6939	 73.0798	 45.6827	 45.6827	 
30.5	 73.0756	 45.7029	 45.7029	 73.0674	 45.6909	 45.6909	 
30.6	 73.0499	 45.7235	 45.7235	 73.0438	 45.71	 45.71	 
